city_id,audit,gini,p_poor,population,radio,corruption
1,0,0.47,0.0642,18837,0,69
2,0,0.59,0.5553,19796,0,30
3,0,0.57,0.1645,3115,0,38
4,0,0.6,0.5213,31826,0,15
5,0,0.51,0.2166,4761,0,17
6,0,0.62,0.5564,8082,0,34
7,0,0.48,0.3303,2264,0,15
8,0,0.44,0.4538,2849,0,11
9,0,0.55,0.1343,16501,0,55
10,0,0.43,0.2604,74017,0,29
11,0,0.55,0.5239,4980,1,34
12,0,0.63,0.4542,92112,0,23
13,0,0.6,0.7576,10433,0,22
14,0,0.49,0.1645,49601,1,18
16,0,0.54,0.5717,6771,1,25
17,0,0.58,0.2007,1423,0,25
18,0,0.6,0.7188,8142,1,21
19,0,0.5,0.0772,2417,1,23
20,0,0.44,0.3367,18230,1,37
21,0,0.58,0.5237,6794,1,23
22,0,0.58,0.6054,28951,1,21
23,0,0.71,0.6807,47018,0,31
24,0,0.47,0.6496,9637,1,22
25,0,0.52,0.1293,22503,0,32
26,0,0.54,0.6609,8272,1,33
27,0,0.66,0.7157,22809,1,26
28,0,0.57,0.4726,9096,1,54
29,0,0.63,0.6688,22406,0,30
30,0,0.56,0.8207,8272,0,23
31,0,0.54,0.7595,10919,0,25
32,0,0.51,0.1615,3253,1,30
33,0,0.53,0.4274,7159,1,20
34,0,0.65,0.3623,41111,1,40
35,0,0.45,0.292,4096,1,35
36,0,0.61,0.5805,37734,1,24
37,0,0.46,0.2154,3314,0,28
38,0,0.55,0.6571,18123,1,18
39,0,0.62,0.5664,11901,0,40
40,0,0.52,0.2914,4706,1,18
41,0,0.43,0.168,62580,1,69
42,0,0.49,0.1653,39881,1,32
43,0,0.61,0.2876,302438,1,50
44,0,0.55,0.5609,5629,1,32
45,0,0.5,0.1757,15128,0,34
46,0,0.6,0.2639,1962,1,37
47,0,0.66,0.52,47472,0,37
48,0,0.66,0.2661,1662,1,26
49,0,0.53,0.252,10624,1,29
50,0,0.54,0.0899,61919,0,12
51,0,0.52,0.3239,7902,1,74
53,0,0.59,0.7793,17963,1,25
54,0,0.56,0.3001,4822,1,18
55,0,0.48,0.2908,4592,1,24
56,0,0.68,0.6128,1976,0,16
57,0,0.56,0.4817,2455,0,37
58,0,0.55,0.3776,2291,1,19
59,0,0.55,0.1575,4764,0,22
61,0,0.47,0.3823,2319,0,24
62,0,0.61,0.4955,259889,1,28
63,0,0.52,0.1318,6551,1,36
64,0,0.56,0.2747,14226,0,21
65,0,0.48,0.7664,13651,0,22
66,0,0.63,0.7027,9557,0,14
67,0,0.49,0.4529,11940,1,62
68,0,0.55,0.574,10591,1,26
69,0,0.57,0.6971,10633,1,27
70,0,0.53,0.3043,13302,1,57
71,0,0.58,0.6004,5105,0,20
72,0,0.5,0.3877,4377,1,31
73,0,0.61,0.4055,21347,0,47
74,0,0.63,0.4864,9496,0,21
