student_id,mathscore,freelunch,innercity,experience,masters
1,473,0,0,7,1
2,536,0,0,21,1
3,463,1,1,0,1
4,559,0,0,16,1
5,489,1,0,5,1
6,454,1,0,8,1
7,423,1,1,17,1
8,500,0,0,3,1
9,439,0,0,11,1
10,528,0,0,10,1
11,473,0,0,13,1
12,468,0,0,6,1
13,559,0,0,0,1
14,494,0,0,6,1
15,528,0,0,18,1
16,484,0,0,13,1
17,459,1,0,12,1
18,528,1,0,1,1
19,478,0,0,8,1
20,559,1,0,13,1
21,454,0,0,13,1
22,473,0,0,3,1
23,602,1,0,14,1
24,459,1,1,11,1
25,576,1,1,10,1
26,520,0,0,8,1
27,559,0,0,8,1
28,459,0,0,5,1
29,513,0,0,13,1
30,423,1,1,0,1
31,494,0,0,3,1
32,439,0,0,8,1
33,434,1,0,15,1
34,434,1,0,8,1
35,454,1,0,11,1
36,484,0,0,10,1
37,559,1,0,4,1
38,459,0,0,7,1
39,506,0,0,17,1
40,576,0,0,12,0
41,484,0,0,4,1
42,434,1,1,10,1
43,528,0,0,0,1
44,478,0,0,16,1
45,602,0,0,18,1
46,439,1,0,4,1
47,547,0,1,12,1
48,489,0,0,8,1
49,500,0,0,14,1
50,468,0,0,13,1
51,444,0,0,15,1
52,547,0,0,14,1
53,513,0,0,5,1
54,405,0,0,13,1
55,288,1,1,3,1
56,506,0,0,5,1
57,513,1,0,1,1
58,559,0,0,5,1
59,547,1,1,10,1
60,454,1,1,22,1
61,494,1,1,2,1
62,626,0,1,2,1
63,500,0,0,11,1
64,449,1,0,5,1
65,528,0,0,8,1
66,500,0,0,11,1
67,506,1,0,13,1
68,473,0,0,5,1
69,444,1,1,0,1
70,459,0,0,5,1
71,463,0,0,4,1
72,559,0,0,12,1
73,536,0,0,5,1
74,473,1,1,11,1
75,500,0,0,8,0
76,520,1,0,2,1
77,473,1,1,22,1
78,500,1,1,11,1
79,468,1,1,14,1
80,513,0,0,7,1
81,506,0,1,13,1
82,473,0,0,8,1
83,506,1,0,3,1
84,484,1,0,15,1
85,468,0,0,20,1
86,468,0,0,11,1
87,412,0,0,20,1
88,459,1,0,6,1
89,506,0,0,11,1
90,463,1,0,12,1
91,500,0,0,6,1
92,463,0,0,12,1
93,468,1,0,18,1
94,434,1,0,14,1
95,418,1,0,2,1
96,484,1,0,11,1
97,528,1,1,1,1
98,494,0,0,17,1
99,439,1,1,0,1
100,489,1,0,17,1
101,528,0,0,0,1
102,536,0,0,27,1
103,468,1,0,13,1
104,559,0,0,17,1
105,559,0,0,20,1
106,459,0,0,17,1
107,559,1,0,4,1
108,536,0,0,3,1
109,576,0,0,15,1
